Date,ABI.BR,AD.AS,ADSGn.DE,ADYEN.AS,AIR.PA,AIRP.PA,ALVG.DE,ASML.AS,AXAF.PA,BASFn.DE,BAYGn.DE,BBVA.MC,BMWG.DE,BNPP.PA,CRH.I,DANO.PA,DB1Gn.DE,DPWGn.DE,DTEGn.DE,ENEI.MI,ENI.MI,ESLX.PA,FLTRF.I,HRMS.PA,IBE.MC,IFXGn.DE,INGA.AS,ISP.MI,ITX.MC,LINI.DE,LVMH.PA,MBGn.DE,MUVGn.DE,NDAFI.HE,NOKIA.HE,OREP.PA,PERP.PA,PRTP.PA,PRX.AS,SAF.PA,SAN.MC,SAPG.DE,SASY.PA,SCHN.PA,SGEF.PA,SIEGn.DE,STLAM.MI,TTEF.PA,VNAn.DE,VOWG_p.DE
2013-01-02,67.35,10.344662539507365,67.48,,30.065,63.87208629604485,108.3,50.17,13.81,73.18,70.82531715,6.328972433394222,75.93,44.46,15.85,50.65,47.005,17.0,8.756,3.256,18.99,77.3,61.638633753732144,226.3854762,2.9857275230561804,6.395,7.282,1.375,21.86,,128.10941805000002,35.6795874,139.05,7.45,2.9272592074313275,107.5,88.14,130.4005367059341,,33.26,4.64246630286372,61.74079488,72.619232,56.69,36.4776786,73.20295256713601,1.8597936217341269,39.975,,179.0
2013-01-03,66.54,10.344662539507365,67.18,,30.2,63.433011439723735,108.0,50.34,13.825,72.35,70.81547619999999,6.292494206112409,75.61,44.46,15.62,50.12,46.905,16.855,8.751,3.232,18.94,76.9,61.92983989745056,226.2367341,3.032038218780464,6.524,7.302,1.372,21.5,,127.20819105,35.558142794999995,138.05,7.475,2.9984729397504,105.4,87.91,132.502297283535,,33.225,4.6263287995199045,61.661232,72.43022304,56.45,36.636105,73.2553651823392,1.8865670003503503,39.855,,178.9
2013-01-04,67.62,10.46512440314064,66.72,,30.8,63.49953793310572,108.2,49.755,13.865,72.47,71.642116,6.355896839245083,75.8,44.385,15.52,50.0,47.225,16.8,8.875,3.236,19.01,76.72,62.463717827601,229.0132533,2.9260728807122014,6.574,7.392,1.382,21.32,,127.83904995,35.70471387,138.15,7.52,3.020961486798528,105.65,88.13,132.73074952023077,,33.18,4.643199825742983,61.13412792,73.28573728,56.43,36.7549248,73.31651323340961,1.9171651473403204,39.82,,178.85
2013-01-07,66.93,10.530374579275326,66.28,,30.75,62.97397863538804,107.7,48.75,13.905,71.64,70.48088390000001,6.432327410692685,75.75,45.21,15.355,49.59,47.385,16.585,8.783,3.176,18.75,75.17,62.4151834703146,230.0048673,2.91468184273376,6.431,7.587,1.404,20.66,,126.30696405,36.06485994,138.3,7.57,3.07343476324416,104.2,87.62,131.26865520537797,,32.89,4.637331642708872,60.6169692,72.99724992,56.1,36.403416225,73.04571472152641,1.9190775315271935,39.155,,175.95
2013-01-08,65.9,10.460105158822586,66.36,,30.925,62.76774650590388,107.05,48.22,13.575,71.14,70.7761124,6.471411225637484,73.21,45.695,15.0,49.725,46.915,16.505,8.84,3.164,18.84,76.1,62.22104604116898,229.3107375,2.9004430452607086,6.319,7.469,1.403,21.12,,125.6310438,35.5958325,135.95,7.56,2.882282113335072,104.5,87.72,131.86263102078692,,32.905,4.650535054535627,60.3186084,73.36532,56.12,36.304399725,72.5565303129632,1.8951727291912792,39.385,,174.0
2013-01-09,64.66,10.404893471324002,67.24,,32.125,62.60143027244891,105.1,48.83,13.65,71.41,71.1697504,6.687675001665362,72.16,45.64,15.06,49.61,47.025,16.68,9.137,3.21,19.16,76.2,60.73589470820505,229.8561252,2.9324803395750743,6.458,7.656,1.438,21.11,,124.41438735,35.767530045,135.4,7.62,2.811068381016,105.25,87.75,134.6954387558142,,33.2,4.6952799501707485,60.68658672,73.47474624,56.2,36.7351215,72.70503272270561,1.931508028741869,39.53,,171.6
2013-01-10,65.05,10.505278357685064,67.25,,32.04,61.97608123465824,104.9,48.57,13.61,70.92,70.86468095000001,6.750500051656495,72.89,45.575,15.015,49.92,46.285,16.755,9.129,3.21,19.24,75.5,59.755500691019705,225.6417657,2.919665421849327,6.639,7.75,1.48,21.08,,123.1076082,35.92247661,135.05,7.62,3.1146637661657275,104.2,87.29,134.37560562444017,,33.11,4.754695303391157,60.27882696,72.95745856,55.1,36.58659675,72.7836516455104,1.9353327971156156,39.55,,173.3
2013-01-11,65.66,10.610682488364178,67.09,,32.295,61.6700593651011,105.6,48.975,13.755,71.0,71.71100265000001,6.7137308782952285,73.22,45.87,14.93,49.6,46.5,16.955,9.024,3.258,19.33,75.31,58.92070974569357,227.079606,2.911122143365497,6.54,7.766,1.491,21.11,,124.23414195,36.08998641,135.25,7.68,3.182129407310112,103.75,87.44,134.0557724930661,,33.155,4.834649297230966,60.98494752,73.42500704,55.41,36.730170675,73.071921029128,1.972624288759642,39.485,,176.05
2013-01-14,65.24,10.63075946563639,68.18,,32.15,61.93616533862906,106.0,48.425,13.71,71.76,71.60275220000001,6.718073524400205,73.22,45.635,14.89,49.22,46.79,16.975,9.04,3.216,19.16,75.64,58.8527616454926,227.6745744,2.9047146845026237,6.494,7.823,1.473,20.85,,123.468099,36.563201595,136.5,7.71,3.227106501406368,104.95,87.9,136.52305664938018,,33.2,4.85592146072963,60.72636816,72.53964928,55.05,36.868793775,72.72250359444001,2.095973068812959,39.61,,175.85
2013-01-15,66.65,10.605663244046124,68.2,,32.145,61.30416365150021,105.7,47.2,13.56,71.86,71.00245425000001,6.67898970945541,72.48,44.23,14.68,49.835,46.86,16.85,8.965,3.248,19.31,75.41,58.86246851694988,230.0048673,2.9032908047553185,6.642,7.72,1.496,20.94,,125.270553,36.672082965,135.15,7.535,3.215862227882304,106.0,89.19,140.04122109449474,,32.84,4.94754932912242,58.3792632,71.7736656,54.5,36.928203675,72.6962972868384,2.068243498103298,39.73,,175.5
